Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Arena,Chrome 69.0.3497.100,,2018-10-15 10:48:59,2018-10-15 10:49:14,15.334s,PASSED
,,,,,,
Test Cases/Backoffice/Login,Chrome 69.0.3497.100,,2018-10-15 10:48:59,2018-10-15 10:49:07,7.634s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-15 10:48:59,2018-10-15 10:49:02,3.019s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-15 10:49:02,2018-10-15 10:49:03,1.133s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-15 10:49:03,2018-10-15 10:49:04,0.940s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 10:49:04,2018-10-15 10:49:05,0.176s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-15 10:49:05,2018-10-15 10:49:05,0.153s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 10:49:05,2018-10-15 10:49:07,1.863s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-15 10:49:07,2018-10-15 10:49:07,0.076s,PASSED
,,,,,,
Test Cases/Backoffice/Betting/Create_arena,Chrome 69.0.3497.100,,2018-10-15 10:49:07,2018-10-15 10:49:11,4.460s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-15 10:49:07,2018-10-15 10:49:07,0.079s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-15 10:49:07,2018-10-15 10:49:07,0.028s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 10:49:07,2018-10-15 10:49:08,0.680s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 10:49:08,2018-10-15 10:49:08,0.093s,PASSED
getWindowIndex,Chrome 69.0.3497.100,,2018-10-15 10:49:08,2018-10-15 10:49:08,0.023s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-15 10:49:08,2018-10-15 10:49:10,2.017s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-15 10:49:10,2018-10-15 10:49:10,0.021s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 10:49:10,2018-10-15 10:49:10,0.356s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 10:49:10,2018-10-15 10:49:10,0.191s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 10:49:10,2018-10-15 10:49:11,0.191s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 10:49:11,2018-10-15 10:49:11,0.104s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 10:49:11,2018-10-15 10:49:11,0.116s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 10:49:11,2018-10-15 10:49:11,0.068s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 10:49:11,2018-10-15 10:49:11,0.065s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 10:49:11,2018-10-15 10:49:11,0.068s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 10:49:11,2018-10-15 10:49:11,0.056s,PASSED
,,,,,,
Test Cases/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-15 10:49:11,2018-10-15 10:49:13,2.261s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-15 10:49:11,2018-10-15 10:49:13,2.001s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-15 10:49:13,2018-10-15 10:49:13,0.109s,PASSED
