Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ArenawithMatch,Chrome 69.0.3497.100,,2018-10-17 18:05:41,2018-10-17 18:06:30,48.912s,PASSED
,,,,,,
Test Cases/Backoffice/Login/LoginAdmin,Chrome 69.0.3497.100,,2018-10-17 18:05:41,2018-10-17 18:05:53,11.731s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-17 18:05:42,2018-10-17 18:05:45,2.963s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-17 18:05:45,2018-10-17 18:05:46,1.144s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-17 18:05:46,2018-10-17 18:05:48,1.997s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 18:05:48,2018-10-17 18:05:48,0.144s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-17 18:05:48,2018-10-17 18:05:48,0.153s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:05:48,2018-10-17 18:05:53,5.005s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-17 18:05:53,2018-10-17 18:05:53,0.052s,PASSED
,,,,,,
Test Cases/Backoffice/Betting/Create_arena,Chrome 69.0.3497.100,,2018-10-17 18:05:53,2018-10-17 18:06:05,11.709s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-17 18:05:54,2018-10-17 18:05:54,0.077s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-17 18:05:54,2018-10-17 18:05:54,0.033s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:05:54,2018-10-17 18:05:57,3.535s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:05:57,2018-10-17 18:05:57,0.091s,PASSED
getWindowIndex,Chrome 69.0.3497.100,,2018-10-17 18:05:57,2018-10-17 18:05:57,0.015s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-17 18:05:57,2018-10-17 18:05:58,0.547s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-17 18:05:58,2018-10-17 18:05:58,0.017s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 18:05:58,2018-10-17 18:05:58,0.286s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 18:05:58,2018-10-17 18:05:58,0.162s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 18:05:58,2018-10-17 18:05:58,0.153s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 18:05:58,2018-10-17 18:05:59,0.106s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-17 18:05:59,2018-10-17 18:05:59,0.117s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-17 18:05:59,2018-10-17 18:05:59,0.067s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-17 18:05:59,2018-10-17 18:05:59,0.059s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-17 18:05:59,2018-10-17 18:05:59,0.057s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-17 18:05:59,2018-10-17 18:05:59,0.063s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:05:59,2018-10-17 18:06:03,3.982s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-17 18:06:03,2018-10-17 18:06:05,2.017s,PASSED
,,,,,,
Test Cases/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-17 18:06:05,2018-10-17 18:06:29,24.461s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-17 18:06:05,2018-10-17 18:06:05,0.046s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:06:05,2018-10-17 18:06:09,4.026s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:06:09,2018-10-17 18:06:09,0.084s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-17 18:06:09,2018-10-17 18:06:11,2.000s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-17 18:06:11,2018-10-17 18:06:11,0.037s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-17 18:06:11,2018-10-17 18:06:11,0.096s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-17 18:06:11,2018-10-17 18:06:12,0.088s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-17 18:06:12,2018-10-17 18:06:12,0.085s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-17 18:06:12,2018-10-17 18:06:12,0.118s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-17 18:06:12,2018-10-17 18:06:12,0.075s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-17 18:06:12,2018-10-17 18:06:15,3.000s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:06:15,2018-10-17 18:06:20,4.834s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-17 18:06:20,2018-10-17 18:06:20,0.049s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:06:20,2018-10-17 18:06:20,0.139s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-17 18:06:20,2018-10-17 18:06:20,0.011s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-17 18:06:20,2018-10-17 18:06:24,4.282s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:06:24,2018-10-17 18:06:24,0.089s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-17 18:06:24,2018-10-17 18:06:25,1.002s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-17 18:06:25,2018-10-17 18:06:25,0.029s,PASSED
click,Chrome 69.0.3497.100,,2018-10-17 18:06:25,2018-10-17 18:06:25,0.087s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-17 18:06:25,2018-10-17 18:06:27,2.000s,PASSED
closeWindowIndex,Chrome 69.0.3497.100,,2018-10-17 18:06:27,2018-10-17 18:06:27,0.044s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-17 18:06:27,2018-10-17 18:06:29,2.002s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-17 18:06:29,2018-10-17 18:06:29,0.009s,PASSED
