Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginAndRegister5,Chrome 69.0.3497.100,,2018-10-12 12:51:10,2018-10-12 13:12:27,21m - 17.209s,PASSED
,,,,,,
Test Cases/Backoffice/Login,Chrome 69.0.3497.100,,2018-10-12 12:51:11,2018-10-12 12:51:22,10.925s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-12 12:51:11,2018-10-12 12:51:16,4.466s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-12 12:51:16,2018-10-12 12:51:17,1.242s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-12 12:51:17,2018-10-12 12:51:18,0.809s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:18,2018-10-12 12:51:18,0.234s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-12 12:51:18,2018-10-12 12:51:18,0.197s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 12:51:18,2018-10-12 12:51:21,3.421s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-12 12:51:21,2018-10-12 12:51:22,0.084s,PASSED
,,,,,,
Test Cases/Backoffice/RegisterAccount,Chrome 69.0.3497.100,Create 1000 user for UCF,2018-10-12 12:51:22,2018-10-12 12:51:29,7.242s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-12 12:51:22,2018-10-12 12:51:22,0.134s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 12:51:22,2018-10-12 12:51:22,0.052s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 12:51:22,2018-10-12 12:51:23,0.746s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:23,2018-10-12 12:51:23,0.185s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:23,2018-10-12 12:51:23,0.122s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:23,2018-10-12 12:51:23,0.171s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-12 12:51:23,2018-10-12 12:51:24,0.368s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-12 12:51:24,2018-10-12 12:51:24,0.175s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 12:51:24,2018-10-12 12:51:26,2.024s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 12:51:26,2018-10-12 12:51:27,0.889s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 12:51:27,2018-10-12 12:51:29,2.001s,PASSED
,,,,,,
Test Cases/Backoffice/RegisterAccount,Chrome 69.0.3497.100,Create 1000 user for UCF,2018-10-12 12:51:29,2018-10-12 12:51:35,6.466s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-12 12:51:29,2018-10-12 12:51:29,0.043s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 12:51:29,2018-10-12 12:51:29,0.014s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 12:51:29,2018-10-12 12:51:29,0.602s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:29,2018-10-12 12:51:30,0.147s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:30,2018-10-12 12:51:30,0.120s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:30,2018-10-12 12:51:30,0.208s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-12 12:51:30,2018-10-12 12:51:30,0.262s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-12 12:51:30,2018-10-12 12:51:30,0.215s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 12:51:30,2018-10-12 12:51:32,2.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 12:51:32,2018-10-12 12:51:33,0.838s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 12:51:33,2018-10-12 12:51:35,2.002s,PASSED
,,,,,,
Test Cases/Backoffice/RegisterAccount,Chrome 69.0.3497.100,Create 1000 user for UCF,2018-10-12 12:51:35,2018-10-12 12:51:41,6.196s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-12 12:51:35,2018-10-12 12:51:35,0.056s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 12:51:35,2018-10-12 12:51:35,0.013s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 12:51:35,2018-10-12 12:51:36,0.528s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:36,2018-10-12 12:51:36,0.101s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:36,2018-10-12 12:51:36,0.137s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:36,2018-10-12 12:51:36,0.132s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-12 12:51:36,2018-10-12 12:51:36,0.134s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-12 12:51:36,2018-10-12 12:51:37,0.167s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 12:51:37,2018-10-12 12:51:39,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 12:51:39,2018-10-12 12:51:39,0.900s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 12:51:39,2018-10-12 12:51:41,2.002s,PASSED
,,,,,,
Test Cases/Backoffice/RegisterAccount,Chrome 69.0.3497.100,Create 1000 user for UCF,2018-10-12 12:51:41,2018-10-12 12:51:48,6.270s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-12 12:51:42,2018-10-12 12:51:42,0.057s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 12:51:42,2018-10-12 12:51:42,0.013s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 12:51:42,2018-10-12 12:51:42,0.680s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:42,2018-10-12 12:51:42,0.103s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:42,2018-10-12 12:51:42,0.130s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 12:51:42,2018-10-12 12:51:43,0.107s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-12 12:51:43,2018-10-12 12:51:43,0.128s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-12 12:51:43,2018-10-12 12:51:43,0.158s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-12 12:51:43,2018-10-12 12:51:45,2.002s,PASSED
