Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
big1,Chrome 69.0.3497.100,,2018-10-18 17:33:02,2018-10-18 17:33:29,26.679s,FAILED
,,,,,,
Test Cases/Frontend/PlaceBet/RandomOddsAndAMount,Chrome 69.0.3497.100,,2018-10-18 17:33:03,2018-10-18 17:33:28,25.565s,FAILED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 69.0.3497.100,,2018-10-18 17:33:03,2018-10-18 17:33:03,0.003s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-18 17:33:03,2018-10-18 17:33:06,3.030s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-18 17:33:06,2018-10-18 17:33:07,1.161s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-18 17:33:07,2018-10-18 17:33:09,1.438s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 17:33:09,2018-10-18 17:33:10,0.723s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 17:33:10,2018-10-18 17:33:10,0.145s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 17:33:10,2018-10-18 17:33:10,0.133s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-18 17:33:10,2018-10-18 17:33:10,0.578s,PASSED
Statement - meron = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/button_Meronodds),Chrome 69.0.3497.100,,2018-10-18 17:33:10,2018-10-18 17:33:10,0.016s,PASSED
Statement - draw = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/button_Drawodds),Chrome 69.0.3497.100,,2018-10-18 17:33:10,2018-10-18 17:33:10,0.010s,PASSED
Statement - ftd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/button_FTDodds),Chrome 69.0.3497.100,,2018-10-18 17:33:10,2018-10-18 17:33:10,0.010s,PASSED
Statement - wala = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/button_Walaodds),Chrome 69.0.3497.100,,2018-10-18 17:33:10,2018-10-18 17:33:10,0.009s,PASSED
"Statement - balance = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/Balance), CONTINUE_ON_FAILURE)",Chrome 69.0.3497.100,,2018-10-18 17:33:10,2018-10-18 17:33:11,0.205s,PASSED
"Statement - log.logInfo(""User balance "" + balance)",Chrome 69.0.3497.100,,2018-10-18 17:33:11,2018-10-18 17:33:11,0.001s,PASSED
Statement - While (balance != 0),Chrome 69.0.3497.100,,2018-10-18 17:33:11,2018-10-18 17:33:28,17.651s,FAILED
