Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1Arenawith100Match,Chrome 69.0.3497.100,,2018-10-19 18:05:01,2018-10-19 18:17:28,12m - 26.504s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Login/LoginAdmin,Chrome 69.0.3497.100,,2018-10-19 18:05:02,2018-10-19 18:05:10,7.957s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 18:05:02,2018-10-19 18:05:05,3.031s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 18:05:05,2018-10-19 18:05:06,1.154s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 18:05:06,2018-10-19 18:05:07,1.283s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 18:05:07,2018-10-19 18:05:08,0.145s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 18:05:08,2018-10-19 18:05:08,0.164s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:08,2018-10-19 18:05:10,1.859s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:10,2018-10-19 18:05:10,0.069s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-19 18:05:10,2018-10-19 18:05:18,7.936s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-19 18:05:10,2018-10-19 18:05:10,0.152s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:10,2018-10-19 18:05:11,0.792s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:11,2018-10-19 18:05:11,0.127s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:11,2018-10-19 18:05:13,2.018s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:13,2018-10-19 18:05:13,0.040s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-19 18:05:13,2018-10-19 18:05:13,0.108s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:13,2018-10-19 18:05:13,0.080s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:13,2018-10-19 18:05:13,0.056s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:13,2018-10-19 18:05:13,0.103s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:13,2018-10-19 18:05:14,0.093s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:14,2018-10-19 18:05:17,3.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:17,2018-10-19 18:05:18,0.987s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:18,2018-10-19 18:05:18,0.046s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-19 18:05:18,2018-10-19 18:05:25,7.243s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-19 18:05:18,2018-10-19 18:05:18,0.078s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:18,2018-10-19 18:05:18,0.686s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:18,2018-10-19 18:05:18,0.110s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:18,2018-10-19 18:05:20,2.002s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:20,2018-10-19 18:05:20,0.039s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-19 18:05:20,2018-10-19 18:05:21,0.090s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:21,2018-10-19 18:05:21,0.050s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:21,2018-10-19 18:05:21,0.052s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:21,2018-10-19 18:05:21,0.091s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:21,2018-10-19 18:05:21,0.086s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:21,2018-10-19 18:05:24,3.000s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:24,2018-10-19 18:05:25,0.912s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:25,2018-10-19 18:05:25,0.032s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-19 18:05:25,2018-10-19 18:05:32,7.322s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-19 18:05:25,2018-10-19 18:05:25,0.088s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:25,2018-10-19 18:05:26,0.708s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:26,2018-10-19 18:05:26,0.097s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:26,2018-10-19 18:05:28,2.002s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:28,2018-10-19 18:05:28,0.060s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-19 18:05:28,2018-10-19 18:05:28,0.084s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:28,2018-10-19 18:05:28,0.055s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:28,2018-10-19 18:05:28,0.060s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:28,2018-10-19 18:05:28,0.097s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:28,2018-10-19 18:05:28,0.084s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:28,2018-10-19 18:05:31,3.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:31,2018-10-19 18:05:32,0.940s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:32,2018-10-19 18:05:32,0.034s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-19 18:05:32,2018-10-19 18:05:39,7.251s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-19 18:05:32,2018-10-19 18:05:32,0.041s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:32,2018-10-19 18:05:33,0.695s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:33,2018-10-19 18:05:33,0.083s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:33,2018-10-19 18:05:35,2.001s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:35,2018-10-19 18:05:35,0.067s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-19 18:05:35,2018-10-19 18:05:35,0.085s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:35,2018-10-19 18:05:35,0.049s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:35,2018-10-19 18:05:35,0.046s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:35,2018-10-19 18:05:35,0.095s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:35,2018-10-19 18:05:35,0.085s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:35,2018-10-19 18:05:38,3.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:38,2018-10-19 18:05:39,0.954s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:39,2018-10-19 18:05:39,0.037s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-19 18:05:39,2018-10-19 18:05:47,7.259s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-19 18:05:39,2018-10-19 18:05:39,0.041s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:39,2018-10-19 18:05:40,0.718s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:40,2018-10-19 18:05:40,0.083s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:40,2018-10-19 18:05:42,2.001s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:42,2018-10-19 18:05:42,0.059s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-19 18:05:42,2018-10-19 18:05:42,0.084s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:42,2018-10-19 18:05:42,0.048s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:42,2018-10-19 18:05:42,0.045s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:42,2018-10-19 18:05:43,0.091s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:43,2018-10-19 18:05:43,0.079s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:43,2018-10-19 18:05:46,3.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:46,2018-10-19 18:05:47,0.964s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:47,2018-10-19 18:05:47,0.033s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-19 18:05:47,2018-10-19 18:05:54,7.193s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-19 18:05:47,2018-10-19 18:05:47,0.058s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:47,2018-10-19 18:05:47,0.658s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 18:05:47,2018-10-19 18:05:47,0.087s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-19 18:05:47,2018-10-19 18:05:49,2.002s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-19 18:05:49,2018-10-19 18:05:49,0.042s,PASSED
selectOptionByLabel,Chrome 69.0.3497.100,,2018-10-19 18:05:49,2018-10-19 18:05:50,0.087s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-19 18:05:50,2018-10-19 18:05:50,0.048s,PASSED
