Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ArenawithMatch,Chrome 70.0.3538.67,,2018-10-24 10:58:33,2018-10-24 10:58:50,17.776s,FAILED
,,,,,,
Test Cases/Staging/Backoffice/Login/LoginAdmin,Chrome 70.0.3538.67,,2018-10-24 10:58:33,2018-10-24 10:58:41,7.900s,PASSED
openBrowser,Chrome 70.0.3538.67,,2018-10-24 10:58:33,2018-10-24 10:58:37,3.207s,PASSED
maximizeWindow,Chrome 70.0.3538.67,,2018-10-24 10:58:37,2018-10-24 10:58:38,1.180s,PASSED
navigateToUrl,Chrome 70.0.3538.67,,2018-10-24 10:58:38,2018-10-24 10:58:39,1.218s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 10:58:39,2018-10-24 10:58:39,0.159s,PASSED
setEncryptedText,Chrome 70.0.3538.67,,2018-10-24 10:58:39,2018-10-24 10:58:39,0.160s,PASSED
click,Chrome 70.0.3538.67,,2018-10-24 10:58:39,2018-10-24 10:58:41,1.571s,PASSED
waitForElementVisible,Chrome 70.0.3538.67,,2018-10-24 10:58:41,2018-10-24 10:58:41,0.096s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Betting/Create_arena,Chrome 70.0.3538.67,,2018-10-24 10:58:41,2018-10-24 10:58:46,5.332s,PASSED
focus,Chrome 70.0.3538.67,,2018-10-24 10:58:41,2018-10-24 10:58:41,0.088s,PASSED
verifyElementPresent,Chrome 70.0.3538.67,,2018-10-24 10:58:41,2018-10-24 10:58:41,0.036s,PASSED
click,Chrome 70.0.3538.67,,2018-10-24 10:58:41,2018-10-24 10:58:42,0.448s,PASSED
click,Chrome 70.0.3538.67,,2018-10-24 10:58:42,2018-10-24 10:58:42,0.109s,PASSED
getWindowIndex,Chrome 70.0.3538.67,,2018-10-24 10:58:42,2018-10-24 10:58:42,0.019s,PASSED
waitForElementVisible,Chrome 70.0.3538.67,,2018-10-24 10:58:42,2018-10-24 10:58:42,0.557s,PASSED
switchToWindowIndex,Chrome 70.0.3538.67,,2018-10-24 10:58:42,2018-10-24 10:58:43,0.025s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 10:58:43,2018-10-24 10:58:43,0.321s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 10:58:43,2018-10-24 10:58:43,0.186s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 10:58:43,2018-10-24 10:58:43,0.142s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 10:58:43,2018-10-24 10:58:43,0.240s,PASSED
setText,Chrome 70.0.3538.67,,2018-10-24 10:58:43,2018-10-24 10:58:44,0.098s,PASSED
sendKeys,Chrome 70.0.3538.67,,2018-10-24 10:58:44,2018-10-24 10:58:44,0.068s,PASSED
sendKeys,Chrome 70.0.3538.67,,2018-10-24 10:58:44,2018-10-24 10:58:44,0.058s,PASSED
sendKeys,Chrome 70.0.3538.67,,2018-10-24 10:58:44,2018-10-24 10:58:44,0.055s,PASSED
sendKeys,Chrome 70.0.3538.67,,2018-10-24 10:58:44,2018-10-24 10:58:44,0.055s,PASSED
click,Chrome 70.0.3538.67,,2018-10-24 10:58:44,2018-10-24 10:58:44,0.483s,PASSED
delay,Chrome 70.0.3538.67,,2018-10-24 10:58:44,2018-10-24 10:58:46,2.018s,PASSED
,,,,,,
Test Cases/Staging/Backoffice/Betting/Create_match,Chrome 70.0.3538.67,,2018-10-24 10:58:46,2018-10-24 10:58:50,3.411s,FAILED
focus,Chrome 70.0.3538.67,,2018-10-24 10:58:46,2018-10-24 10:58:47,0.051s,PASSED
click,Chrome 70.0.3538.67,,2018-10-24 10:58:47,2018-10-24 10:58:47,0.531s,PASSED
click,Chrome 70.0.3538.67,,2018-10-24 10:58:47,2018-10-24 10:58:47,0.111s,PASSED
delay,Chrome 70.0.3538.67,,2018-10-24 10:58:47,2018-10-24 10:58:49,2.002s,PASSED
waitForElementVisible,Chrome 70.0.3538.67,,2018-10-24 10:58:49,2018-10-24 10:58:49,0.079s,PASSED
selectOptionByLabel,Chrome 70.0.3538.67,,2018-10-24 10:58:49,2018-10-24 10:58:50,0.406s,FAILED
