Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createAccount,Chrome 70.0.3538.102,,2018-11-19 17:35:28,2018-11-19 17:37:02,1m - 33.686s,FAILED
,,,,,,
Test Cases/dailyTesting/2.login/openBrowserFrontend,Chrome 70.0.3538.102,,2018-11-19 17:35:29,2018-11-19 17:36:12,42.792s,PASSED
frontend.openBrowserFrontend.openbrowserFrontend,Chrome 70.0.3538.102,,2018-11-19 17:35:29,2018-11-19 17:36:12,42.225s,PASSED
,,,,,,
Test Cases/dailyTesting/1.accountCreation/signUp,Chrome 70.0.3538.102,,2018-11-19 17:36:12,2018-11-19 17:36:25,13.177s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 17:36:12,2018-11-19 17:36:13,1.069s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:36:13,2018-11-19 17:36:13,0.356s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:36:13,2018-11-19 17:36:14,0.838s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:36:14,2018-11-19 17:36:15,0.605s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:36:15,2018-11-19 17:36:15,0.244s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:36:15,2018-11-19 17:36:15,0.239s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:36:15,2018-11-19 17:36:16,0.927s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 17:36:16,2018-11-19 17:36:25,8.556s,PASSED
,,,,,,
Test Cases/dailyTesting/2.login/frontendLogin,Chrome 70.0.3538.102,,2018-11-19 17:36:25,2018-11-19 17:36:34,9.641s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:36:25,2018-11-19 17:36:25,0.200s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:36:25,2018-11-19 17:36:25,0.260s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 17:36:25,2018-11-19 17:36:27,2.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:36:27,2018-11-19 17:36:28,0.117s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-19 17:36:28,2018-11-19 17:36:29,1.894s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 17:36:29,2018-11-19 17:36:34,5.001s,PASSED
,,,,,,
Test Cases/dailyTesting/2.login/backofficeLogin,Chrome 70.0.3538.102,,2018-11-19 17:36:34,2018-11-19 17:36:47,12.544s,PASSED
backoffice.openBrowserBackoffice.openbrowserBackoffice,Chrome 70.0.3538.102,,2018-11-19 17:36:35,2018-11-19 17:36:44,9.352s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:36:44,2018-11-19 17:36:44,0.179s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-19 17:36:44,2018-11-19 17:36:45,0.461s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:36:45,2018-11-19 17:36:47,2.189s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 17:36:47,2018-11-19 17:36:47,0.159s,PASSED
,,,,,,
Test Cases/dailyTesting/1.accountCreation/playerList,Chrome 70.0.3538.102,,2018-11-19 17:36:47,2018-11-19 17:37:01,13.805s,FAILED
focus,Chrome 70.0.3538.102,,2018-11-19 17:36:48,2018-11-19 17:36:49,1.759s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:36:49,2018-11-19 17:36:50,0.856s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 17:36:50,2018-11-19 17:36:51,0.423s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 17:36:51,2018-11-19 17:36:51,0.182s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-19 17:36:51,2018-11-19 17:36:54,3.002s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-19 17:36:54,2018-11-19 17:37:00,5.882s,FAILED
