Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add10kbalance,Chrome 70.0.3538.102,,2018-11-14 14:19:50,2018-11-14 14:20:10,20.494s,ERROR
,,,,,,
Test Cases/dailyTesting/2.login/openBrowserFrontend,Chrome 70.0.3538.102,,2018-11-14 14:19:50,2018-11-14 14:19:57,6.893s,PASSED
frontend.openBrowserFrontend.openbrowserFrontend,Chrome 70.0.3538.102,,2018-11-14 14:19:50,2018-11-14 14:19:57,6.654s,PASSED
,,,,,,
Test Cases/dailyTesting/2.login/frontendLogin,Chrome 70.0.3538.102,,2018-11-14 14:19:57,2018-11-14 14:20:06,8.928s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 14:19:57,2018-11-14 14:19:57,0.247s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 14:19:57,2018-11-14 14:19:57,0.171s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:19:57,2018-11-14 14:19:59,2.018s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 14:19:59,2018-11-14 14:19:59,0.122s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-14 14:19:59,2018-11-14 14:20:01,1.184s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:20:01,2018-11-14 14:20:06,5.002s,PASSED
,,,,,,
Test Cases/dailyTesting/3.fundingAccount/fundingAccount,Chrome 70.0.3538.102,,2018-11-14 14:20:06,2018-11-14 14:20:09,3.547s,ERROR
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-14 14:20:06,2018-11-14 14:20:06,0.045s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 14:20:06,2018-11-14 14:20:06,0.095s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 14:20:06,2018-11-14 14:20:06,0.182s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:20:06,2018-11-14 14:20:09,3.002s,PASSED
Statement - balance = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(dailyTesting/Frontend/fundingAccount/inputBalance)),Chrome 70.0.3538.102,,2018-11-14 14:20:09,2018-11-14 14:20:09,0.056s,PASSED
Statement - If (balance >= 1 && balance <= 9000),Chrome 70.0.3538.102,,2018-11-14 14:20:09,2018-11-14 14:20:09,0.000s,PASSED
