Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createMatch,Chrome 70.0.3538.102,,2018-11-16 10:08:17,2018-11-16 10:09:17,1m - 0.681s,PASSED
,,,,,,
Test Cases/dailyTesting/2.login/backofficeLogin,Chrome 70.0.3538.102,,2018-11-16 10:08:17,2018-11-16 10:08:33,16.063s,PASSED
backoffice.openBrowserBackoffice.openbrowserBackoffice,Chrome 70.0.3538.102,,2018-11-16 10:08:17,2018-11-16 10:08:24,6.727s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:08:24,2018-11-16 10:08:24,0.280s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-16 10:08:24,2018-11-16 10:08:24,0.275s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 10:08:24,2018-11-16 10:08:27,2.416s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 10:08:27,2018-11-16 10:08:33,6.100s,PASSED
,,,,,,
Test Cases/dailyTesting/5.matchCreation/createMatch,Chrome 70.0.3538.102,,2018-11-16 10:08:33,2018-11-16 10:09:16,43.389s,PASSED
backoffice.bettingMatch.match,Chrome 70.0.3538.102,,2018-11-16 10:08:33,2018-11-16 10:08:34,1.175s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 10:08:34,2018-11-16 10:08:35,0.237s,PASSED
getWindowIndex,Chrome 70.0.3538.102,,2018-11-16 10:08:35,2018-11-16 10:08:35,0.037s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 10:08:35,2018-11-16 10:08:35,0.184s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 10:08:35,2018-11-16 10:08:35,0.088s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:08:35,2018-11-16 10:09:05,29.853s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-16 10:09:05,2018-11-16 10:09:05,0.089s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-16 10:09:05,2018-11-16 10:09:05,0.023s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:05,2018-11-16 10:09:05,0.153s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:05,2018-11-16 10:09:05,0.150s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:05,2018-11-16 10:09:05,0.199s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:05,2018-11-16 10:09:05,0.118s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:05,2018-11-16 10:09:06,0.127s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:06,2018-11-16 10:09:06,0.120s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:06,2018-11-16 10:09:06,0.144s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:06,2018-11-16 10:09:06,0.106s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 10:09:06,2018-11-16 10:09:08,1.622s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 10:09:08,2018-11-16 10:09:11,3.017s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 10:09:11,2018-11-16 10:09:11,0.136s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 10:09:11,2018-11-16 10:09:11,0.212s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-16 10:09:11,2018-11-16 10:09:11,0.104s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 10:09:11,2018-11-16 10:09:13,2.001s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-16 10:09:13,2018-11-16 10:09:13,0.093s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-16 10:09:13,2018-11-16 10:09:13,0.051s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-16 10:09:13,2018-11-16 10:09:13,0.061s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-16 10:09:13,2018-11-16 10:09:13,0.075s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-16 10:09:13,2018-11-16 10:09:13,0.064s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 10:09:13,2018-11-16 10:09:16,3.002s,PASSED
