Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
submitOneBet,Chrome 70.0.3538.102,,2018-11-14 17:50:13,2018-11-14 17:51:02,49.236s,FAILED
,,,,,,
Test Cases/dailyTesting/2.login/openBrowserFrontend,Chrome 70.0.3538.102,,2018-11-14 17:50:13,2018-11-14 17:50:20,6.458s,PASSED
frontend.openBrowserFrontend.openbrowserFrontend,Chrome 70.0.3538.102,,2018-11-14 17:50:13,2018-11-14 17:50:20,6.216s,PASSED
,,,,,,
Test Cases/dailyTesting/2.login/frontendLogin,Chrome 70.0.3538.102,,2018-11-14 17:50:20,2018-11-14 17:50:29,9.316s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 17:50:20,2018-11-14 17:50:20,0.202s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 17:50:20,2018-11-14 17:50:20,0.134s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 17:50:20,2018-11-14 17:50:22,2.017s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 17:50:22,2018-11-14 17:50:22,0.104s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-14 17:50:22,2018-11-14 17:50:24,1.666s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 17:50:24,2018-11-14 17:50:29,5.003s,PASSED
,,,,,,
Test Cases/dailyTesting/6.betting/submitBet,Chrome 70.0.3538.102,,2018-11-14 17:50:29,2018-11-14 17:51:01,32.209s,FAILED
Statement - arenaSelection = new com.kms.katalon.core.testobject.TestObject(customObject),Chrome 70.0.3538.102,,2018-11-14 17:50:29,2018-11-14 17:50:29,0.005s,PASSED
Statement - properties = new java.util.ArrayList(),Chrome 70.0.3538.102,,2018-11-14 17:50:29,2018-11-14 17:50:29,0.001s,PASSED
"Statement - properties.add(new com.kms.katalon.core.testobject.TestObjectProperty(tag, com.kms.katalon.core.testobject.ConditionType.EQUALS, button))",Chrome 70.0.3538.102,,2018-11-14 17:50:29,2018-11-14 17:50:29,0.006s,PASSED
"Statement - properties.add(new com.kms.katalon.core.testobject.TestObjectProperty(text, com.kms.katalon.core.testobject.ConditionType.CONTAINS, acronym.toUpperCase()))",Chrome 70.0.3538.102,,2018-11-14 17:50:29,2018-11-14 17:50:29,0.001s,PASSED
Statement - arenaSelection.setProperties(properties),Chrome 70.0.3538.102,,2018-11-14 17:50:29,2018-11-14 17:50:29,0.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 17:50:29,2018-11-14 17:51:01,31.984s,FAILED
