Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
matchDetails,Chrome 70.0.3538.102,,2018-11-16 13:07:23,2018-11-16 13:07:41,18.204s,FAILED
,,,,,,
Test Cases/dailyTesting/2.login/backofficeLogin,Chrome 70.0.3538.102,,2018-11-16 13:07:23,2018-11-16 13:07:32,8.106s,PASSED
backoffice.openBrowserBackoffice.openbrowserBackoffice,Chrome 70.0.3538.102,,2018-11-16 13:07:24,2018-11-16 13:07:29,5.423s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:07:29,2018-11-16 13:07:29,0.166s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-16 13:07:29,2018-11-16 13:07:29,0.157s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:07:29,2018-11-16 13:07:31,2.042s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 13:07:31,2018-11-16 13:07:32,0.073s,PASSED
,,,,,,
Test Cases/dailyTesting/6.betting/matchDetails,Chrome 70.0.3538.102,,2018-11-16 13:07:32,2018-11-16 13:07:40,8.898s,FAILED
backoffice.bettingMatch.match,Chrome 70.0.3538.102,,2018-11-16 13:07:32,2018-11-16 13:07:33,0.936s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:07:33,2018-11-16 13:07:33,0.272s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:07:33,2018-11-16 13:07:33,0.216s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-16 13:07:33,2018-11-16 13:07:33,0.102s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 13:07:33,2018-11-16 13:07:36,3.023s,PASSED
selectOptionByLabel,Chrome 70.0.3538.102,,2018-11-16 13:07:36,2018-11-16 13:07:36,0.251s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 13:07:36,2018-11-16 13:07:39,3.001s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-16 13:07:39,2018-11-16 13:07:40,0.047s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:07:40,2018-11-16 13:07:40,0.149s,PASSED
switchToWindowIndex,Chrome 70.0.3538.102,,2018-11-16 13:07:40,2018-11-16 13:07:40,0.720s,FAILED
