Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
result,Chrome 70.0.3538.102,,2018-11-16 13:25:05,2018-11-16 13:25:32,27.165s,PASSED
,,,,,,
Test Cases/dailyTesting/2.login/backofficeLogin,Chrome 70.0.3538.102,,2018-11-16 13:25:05,2018-11-16 13:25:13,8.058s,PASSED
backoffice.openBrowserBackoffice.openbrowserBackoffice,Chrome 70.0.3538.102,,2018-11-16 13:25:05,2018-11-16 13:25:11,5.445s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:25:11,2018-11-16 13:25:11,0.181s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-16 13:25:11,2018-11-16 13:25:11,0.205s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:25:11,2018-11-16 13:25:13,1.877s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 13:25:13,2018-11-16 13:25:13,0.092s,PASSED
,,,,,,
Test Cases/dailyTesting/7.settlement/result,Chrome 70.0.3538.102,,2018-11-16 13:25:13,2018-11-16 13:25:31,17.998s,PASSED
backoffice.bettingMatch.match,Chrome 70.0.3538.102,,2018-11-16 13:25:13,2018-11-16 13:25:14,1.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:25:14,2018-11-16 13:25:15,0.303s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 13:25:15,2018-11-16 13:25:15,0.216s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-16 13:25:15,2018-11-16 13:25:15,0.102s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 13:25:15,2018-11-16 13:25:18,3.027s,PASSED
selectOptionByLabel,Chrome 70.0.3538.102,,2018-11-16 13:25:18,2018-11-16 13:25:18,0.268s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 13:25:18,2018-11-16 13:25:21,3.002s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-16 13:25:21,2018-11-16 13:25:21,0.024s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:25:21,2018-11-16 13:25:22,0.159s,PASSED
switchToWindowTitle,Chrome 70.0.3538.102,,2018-11-16 13:25:22,2018-11-16 13:25:23,1.131s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-16 13:25:23,2018-11-16 13:25:23,0.059s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:25:23,2018-11-16 13:25:23,0.080s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:25:23,2018-11-16 13:25:24,0.932s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 13:25:24,2018-11-16 13:25:27,3.002s,PASSED
"Statement - If (Result == ""Meron"")",Chrome 70.0.3538.102,,2018-11-16 13:25:27,2018-11-16 13:25:27,0.000s,PASSED
"Statement - Else If (Result == ""Draw"")",Chrome 70.0.3538.102,,2018-11-16 13:25:27,2018-11-16 13:25:27,0.734s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 13:25:27,2018-11-16 13:25:30,3.002s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-16 13:25:30,2018-11-16 13:25:31,0.066s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:25:31,2018-11-16 13:25:31,0.081s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 13:25:31,2018-11-16 13:25:31,0.596s,PASSED
