Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
checkLockLimit,Chrome 70.0.3538.110,,2018-11-28 13:36:18,2018-11-28 13:36:56,38.421s,FAILED
,,,,,,
Test Cases/dailyTesting/Backoffice/Login/backofficeLogin,Chrome 70.0.3538.110,,2018-11-28 13:36:18,2018-11-28 13:36:28,9.627s,PASSED
backoffice.openBrowserBackoffice.openbrowserBackoffice,Chrome 70.0.3538.110,,2018-11-28 13:36:18,2018-11-28 13:36:25,6.682s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 13:36:25,2018-11-28 13:36:25,0.209s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-28 13:36:25,2018-11-28 13:36:25,0.221s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 13:36:25,2018-11-28 13:36:28,2.175s,PASSED
waitForElementVisible,Chrome 70.0.3538.110,,2018-11-28 13:36:28,2018-11-28 13:36:28,0.068s,PASSED
,,,,,,
Test Cases/dailyTesting/Backoffice/Match/createMatch,Chrome 70.0.3538.110,,2018-11-28 13:36:28,2018-11-28 13:36:46,18.394s,FAILED
backoffice.bettingMatch.match,Chrome 70.0.3538.110,,2018-11-28 13:36:28,2018-11-28 13:36:30,1.922s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 13:36:30,2018-11-28 13:36:30,0.208s,PASSED
delay,Chrome 70.0.3538.110,,2018-11-28 13:36:30,2018-11-28 13:36:32,2.020s,PASSED
waitForElementVisible,Chrome 70.0.3538.110,,2018-11-28 13:36:32,2018-11-28 13:36:32,0.051s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 13:36:32,2018-11-28 13:36:32,0.125s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:32,2018-11-28 13:36:32,0.306s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:32,2018-11-28 13:36:33,0.073s,PASSED
delay,Chrome 70.0.3538.110,,2018-11-28 13:36:33,2018-11-28 13:36:36,3.003s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:36,0.169s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:36,0.119s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:36,0.122s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:36,0.107s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:36,0.122s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:36,0.111s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:36,0.123s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:36,0.111s,PASSED
waitForElementPresent,Chrome 70.0.3538.110,,2018-11-28 13:36:36,2018-11-28 13:36:37,0.044s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 13:36:37,2018-11-28 13:36:39,2.160s,PASSED
delay,Chrome 70.0.3538.110,,2018-11-28 13:36:39,2018-11-28 13:36:42,3.001s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 13:36:42,2018-11-28 13:36:42,0.155s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:42,2018-11-28 13:36:42,0.308s,PASSED
sendKeys,Chrome 70.0.3538.110,,2018-11-28 13:36:42,2018-11-28 13:36:42,0.144s,PASSED
delay,Chrome 70.0.3538.110,,2018-11-28 13:36:42,2018-11-28 13:36:44,2.003s,PASSED
selectOptionByLabel,Chrome 70.0.3538.110,,2018-11-28 13:36:44,2018-11-28 13:36:45,0.298s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-11-28 13:36:45,2018-11-28 13:36:46,1.362s,FAILED
,,,,,,
Test Cases/dailyTesting/Backoffice/Match/openBetting,Chrome 70.0.3538.110,,2018-11-28 13:36:46,2018-11-28 13:36:52,5.742s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 13:36:46,2018-11-28 13:36:46,0.141s,PASSED
switchToWindowTitle,Chrome 70.0.3538.110,,2018-11-28 13:36:46,2018-11-28 13:36:47,1.141s,PASSED
verifyElementPresent,Chrome 70.0.3538.110,,2018-11-28 13:36:47,2018-11-28 13:36:47,0.054s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 13:36:47,2018-11-28 13:36:48,0.107s,PASSED
delay,Chrome 70.0.3538.110,,2018-11-28 13:36:48,2018-11-28 13:36:50,2.004s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 13:36:50,2018-11-28 13:36:50,0.123s,PASSED
delay,Chrome 70.0.3538.110,,2018-11-28 13:36:50,2018-11-28 13:36:52,2.002s,PASSED
,,,,,,
Test Cases/dailyTesting/Backoffice/RiskManagement/lockLimits,Chrome 70.0.3538.110,,2018-11-28 13:36:52,2018-11-28 13:36:55,3.379s,PASSED
backoffice.lockLimit.lock,Chrome 70.0.3538.110,,2018-11-28 13:36:52,2018-11-28 13:36:55,3.223s,PASSED
