Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createAccount,Chrome 70.0.3538.102,,2018-11-14 11:25:56,2018-11-14 11:27:01,1m - 5.579s,FAILED
,,,,,,
Test Cases/dailyTesting/login/openBrowserFrontend,Chrome 70.0.3538.102,,2018-11-14 11:25:56,2018-11-14 11:26:04,7.773s,PASSED
frontend.openBrowserFrontend.openbrowserFrontend,Chrome 70.0.3538.102,,2018-11-14 11:25:56,2018-11-14 11:26:04,7.546s,PASSED
,,,,,,
Test Cases/dailyTesting/accountCreation/signUp,Chrome 70.0.3538.102,,2018-11-14 11:26:04,2018-11-14 11:26:08,4.420s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-14 11:26:04,2018-11-14 11:26:04,0.088s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:26:04,2018-11-14 11:26:04,0.108s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:26:04,2018-11-14 11:26:04,0.243s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:26:04,2018-11-14 11:26:05,0.334s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:26:05,2018-11-14 11:26:05,0.153s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:26:05,2018-11-14 11:26:05,0.176s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:26:05,2018-11-14 11:26:05,0.104s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:26:05,2018-11-14 11:26:08,3.017s,PASSED
,,,,,,
Test Cases/dailyTesting/login/frontendLogin,Chrome 70.0.3538.102,,2018-11-14 11:26:08,2018-11-14 11:26:17,8.621s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:26:08,2018-11-14 11:26:08,0.173s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:26:08,2018-11-14 11:26:09,0.154s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:26:09,2018-11-14 11:26:11,2.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:26:11,2018-11-14 11:26:11,0.110s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-14 11:26:11,2018-11-14 11:26:12,1.050s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:26:12,2018-11-14 11:26:17,5.001s,PASSED
,,,,,,
Test Cases/dailyTesting/login/backofficeLogin,Chrome 70.0.3538.102,,2018-11-14 11:26:17,2018-11-14 11:26:24,7.575s,PASSED
backoffice.openBrowserBackoffice.openbrowserBackoffice,Chrome 70.0.3538.102,,2018-11-14 11:26:17,2018-11-14 11:26:22,4.963s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:26:22,2018-11-14 11:26:22,0.161s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-14 11:26:22,2018-11-14 11:26:22,0.192s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:26:22,2018-11-14 11:26:24,2.059s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-14 11:26:24,2018-11-14 11:26:24,0.051s,PASSED
,,,,,,
Test Cases/dailyTesting/accountCreation/playerList,Chrome 70.0.3538.102,,2018-11-14 11:26:24,2018-11-14 11:27:00,36.030s,FAILED
focus,Chrome 70.0.3538.102,,2018-11-14 11:26:24,2018-11-14 11:26:25,0.113s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:26:25,2018-11-14 11:26:25,0.685s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 11:26:25,2018-11-14 11:26:25,0.199s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 11:26:25,2018-11-14 11:26:26,0.153s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 11:26:26,2018-11-14 11:26:29,3.002s,PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 11:26:29,2018-11-14 11:27:00,31.745s,FAILED
