Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createArena,Chrome 70.0.3538.77,,2018-11-07 14:32:10,2018-11-07 14:32:27,16.754s,FAILED
,,,,,,
Test Cases/dailyTesting/login/backofficeLogin,Chrome 70.0.3538.77,,2018-11-07 14:32:11,2018-11-07 14:32:21,10.172s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 14:32:11,2018-11-07 14:32:15,3.897s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-07 14:32:15,2018-11-07 14:32:16,1.163s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 14:32:16,2018-11-07 14:32:18,2.229s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 14:32:18,2018-11-07 14:32:19,0.218s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-07 14:32:19,2018-11-07 14:32:19,0.200s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 14:32:19,2018-11-07 14:32:21,1.909s,PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-07 14:32:21,2018-11-07 14:32:21,0.131s,PASSED
,,,,,,
Test Cases/dailyTesting/arenaCreation/createArena,Chrome 70.0.3538.77,,2018-11-07 14:32:21,2018-11-07 14:32:23,2.437s,FAILED
focus,Chrome 70.0.3538.77,,2018-11-07 14:32:21,2018-11-07 14:32:21,0.094s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-07 14:32:21,2018-11-07 14:32:21,0.041s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 14:32:21,2018-11-07 14:32:22,0.841s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 14:32:22,2018-11-07 14:32:22,0.231s,PASSED
getWindowIndex,Chrome 70.0.3538.77,,2018-11-07 14:32:22,2018-11-07 14:32:22,0.040s,PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-07 14:32:22,2018-11-07 14:32:23,0.597s,PASSED
switchToWindowIndex,Chrome 70.0.3538.77,,2018-11-07 14:32:23,2018-11-07 14:32:23,0.017s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 14:32:23,2018-11-07 14:32:23,0.384s,FAILED
,,,,,,
Test Cases/dailyTesting/arenaCreation/createArena,Chrome 70.0.3538.77,,2018-11-07 14:32:23,2018-11-07 14:32:24,0.458s,FAILED
focus,Chrome 70.0.3538.77,,2018-11-07 14:32:23,2018-11-07 14:32:23,0.051s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-07 14:32:23,2018-11-07 14:32:23,0.015s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 14:32:23,2018-11-07 14:32:24,0.369s,FAILED
,,,,,,
Test Cases/dailyTesting/arenaCreation/createArena,Chrome 70.0.3538.77,,2018-11-07 14:32:24,2018-11-07 14:32:24,0.429s,FAILED
focus,Chrome 70.0.3538.77,,2018-11-07 14:32:24,2018-11-07 14:32:24,0.043s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-07 14:32:24,2018-11-07 14:32:24,0.026s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 14:32:24,2018-11-07 14:32:24,0.345s,FAILED
,,,,,,
Test Cases/dailyTesting/arenaCreation/createArena,Chrome 70.0.3538.77,,2018-11-07 14:32:24,2018-11-07 14:32:25,0.417s,FAILED
focus,Chrome 70.0.3538.77,,2018-11-07 14:32:24,2018-11-07 14:32:24,0.036s,PASSED
verifyElementPresent,Chrome 70.0.3538.77,,2018-11-07 14:32:24,2018-11-07 14:32:24,0.014s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 14:32:24,2018-11-07 14:32:25,0.354s,FAILED
